DatGeracaoConjuntoDados,AnoReferencia,MesReferencia,NomUF,SigUF,MdaPotenciaInstaladakW
4/2/2026,2009,12,PERNAMBUCO,PE,2704028.7
4/2/2026,2009,12,PIAUI,PI,316810
4/2/2026,2009,12,PARANA,PR,17641764
4/2/2026,2009,12,RIO DE JANEIRO,RJ,7827536.4
4/2/2026,2009,12,RIO GRANDE DO NORTE,RN,582076
4/2/2026,2009,12,RONDONIA,RO,914148.48
4/2/2026,2009,12,RORAIMA,RR,127410.4
4/2/2026,2009,12,RIO GRANDE DO SUL,RS,7006976.6
4/2/2026,2009,12,SANTA CATARINA,SC,5628259.1
4/2/2026,2009,12,SERGIPE,SE,3191484.4
4/2/2026,2009,12,SÃO PAULO,SP,22350906.9
4/2/2026,2009,12,TOCANTINS,TO,1521183
4/2/2026,2010,12,ACRE,AC,132998.3
4/2/2026,2010,12,ALAGOAS,AL,7674826.5
4/2/2026,2010,12,AMAZONAS,AM,2139920.6
4/2/2026,2010,12,AMAPA,AP,296249
4/2/2026,2010,12,BAHIA,BA,9294250.9
4/2/2026,2010,12,CEARA,CE,1066034
4/2/2026,2010,12,DISTRITO FEDERAL,DF,42120
4/2/2026,2010,12,ESPIRITO SANTO,ES,1758851
4/2/2026,2010,12,GOIAS,GO,8904031.6
4/2/2026,2010,12,MARANHAO,MA,672124.8
4/2/2026,2010,12,MINAS GERAIS,MG,18714031.45
4/2/2026,2010,12,MATO GROSSO DO SUL,MS,7826471
4/2/2026,2010,12,MATO GROSSO,MT,2138459.82
4/2/2026,2010,12,PARA,PA,8736433.4
4/2/2026,2010,12,PARAIBA,PB,115886
4/2/2026,2010,12,PERNAMBUCO,PE,2716941.7
4/2/2026,2010,12,PIAUI,PI,316810
4/2/2026,2010,12,PARANA,PR,17787354
4/2/2026,2010,12,RIO DE JANEIRO,RJ,7870648.4
4/2/2026,2010,12,RIO GRANDE DO NORTE,RN,582076
4/2/2026,2010,12,RONDONIA,RO,933159.48
4/2/2026,2010,12,RORAIMA,RR,127410.4
